name	year	occupation
12th Planet	1982	composer,disc jockey,record producer
2 Chainz	1977	composer,record producer,singer-songwriter,songwriter,rapper,director,basketball player,manufacturer
2 Pistols	1983	musician,rapper,drug trafficker
40 Glocc	1979	musician,rapper
50 Cent	1975	screenwriter,actor,composer,businessperson,entrepreneur,singer,record producer,singer-songwriter,investor,television producer,songwriter,executive producer,rapper,film director,film producer,television actor,film actor,manufacturer,boxing promoter
9th Wonder	1975	composer,disc jockey,record producer,musician,rapper
A Martinez	1948	screenwriter,actor,singer,television presenter,film producer,television actor,film actor
A$AP Rocky	1988	record producer,songwriter,rapper
A+	1982	singer,musician,rapper
A. A. Attanasio	1951	writer,novelist,science fiction writer
A. A. Gray	1881	musician
A. Arthur Schiller	1902	university teacher,legal historian
A. B. Guthrie Jr.	1901	screenwriter,writer,historian,journalist,literary critic,novelist
A. B. Spellman	1935	writer,poet,historian,music critic,journalist,music historian
A. Bartlett Giamatti	1938	university teacher
A. Brooks Harris	1935	physicist,university teacher
A. C. Gibbs	1825	lawyer,politician
A. C. Green	1963	basketball player
A. C. Schiffler	1889	lawyer,politician
A. D. Flowers	1917	film director
A. Dale Kaiser	1927	university teacher,biochemist,microbiologist
A. E. Kaye	1900	engineer,audio engineer
A. Edward Sutherland	1895	actor,film director,film actor
A. Harry Moore	1877	lawyer,politician
A. Ian Scott	1928	chemist,university teacher
A. J. Allmendinger	1981	racing automobile driver
A. J. Burnett	1977	baseball player
A. J. DeLaGarza	1987	association football player
A. J. Foyt	1935	racing automobile driver,Formula One driver,NASCAR team owner
A. J. Foyt IV	1984	racing automobile driver
A. J. Jacobs	1968	writer,journalist
A. J. Langer	1974	actor,aristocrat,television actor,film actor,fundraiser
A. J. Liebling	1904	war correspondent,journalist
A. J. Mogis	2000	musician
A. J. Pierzynski	1976	baseball player,professional wrestler
A. J. Tondreau	1900	audio engineer
A. James Hudspeth	1945	university teacher
A. Jeff McLemore	1857	politician,journalist
A. K. Salim	1922	composer,musician,saxophonist
A. Lee Martinez	1973	writer,novelist,science fiction writer
A. Leonard Allen	1891	teacher,lawyer,politician,head teacher,city attorney,superintendent
A. Linwood Holton, Jr.	1923	lawyer,politician
A. M. Homes	1961	writer,novelist
A. M. Rosenthal	1922	columnist,journalist
A. O. Scott	1966	journalist,film critic
A. P. Carter	1891	singer,singer-songwriter,musician
A. Piatt Andrew	1873	politician
A. Roland Fields	1884	scenographer
A. Roland Fields	1900	scenographer
A. S. J. Carnahan	1897	teacher,politician,diplomat,administrator
A. Scott Sloan	1820	judge,lawyer,politician
A. Victor Donahey	1873	politician
A. Wallis Lloyd	1962	writer
A.C. Reed	1926	musician,saxophonist
A.G.	2000	musician
A.J. Styles	1977	professional wrestler
AJ Michalka	1991	actor,composer,singer,singer-songwriter,musician,guitarist,voice actor,model,television actor,film actor
AZ	1972	composer,musician,rapper
Aaliyah	1979	actor,singer,musician,ballet dancer,fashion model,model,dancer,film actor
Aaron A. Sargent	1827	lawyer,politician,diplomat,journalist,suffragist
Aaron Allston	1960	writer,film director,novelist,science fiction writer,role-playing game designer
Aaron Antonovsky	1923	university teacher,sociologist
Aaron Baddeley	1981	golfer
Aaron Bell	1922	pianist,jazz musician
Aaron Boehme	2000	American football player
Aaron Brooks	1985	basketball player,basketball coach
Aaron Broten	1960	ice hockey player
Aaron Burr	1756	lawyer,politician,jurist,military officer,bretteur
Aaron Burr, Sr.	1715	minister,educator
Aaron Burr, Sr.	1716	minister,educator
